,bpm,time,endtime
0,54.0,1686300283000000000,1686300283000000000
1,67.0,1686300548000000000,1686300548000000000
2,55.0,1686301058000000000,1686301058000000000
3,59.0,1686301348000000000,1686301348000000000
4,53.0,1686301623000000000,1686301623000000000
5,61.0,1686301777000000000,1686301777000000000
6,54.0,1686302089000000000,1686302089000000000
7,89.0,1686302557000000000,1686302557000000000
8,73.0,1686302815000000000,1686302815000000000
9,49.0,1686303174000000000,1686303174000000000
10,57.0,1686303394000000000,1686303394000000000
11,56.0,1686303727000000000,1686303727000000000
12,62.0,1686303914000000000,1686303914000000000
13,59.0,1686304335000000000,1686304335000000000
14,57.0,1686304674000000000,1686304674000000000
15,55.0,1686304974000000000,1686304974000000000
16,53.0,1686305290000000000,1686305290000000000
17,67.0,1686305477000000000,1686305477000000000
18,69.0,1686305786000000000,1686305786000000000
19,58.0,1686305843000000000,1686305843000000000
20,60.0,1686306077000000000,1686306077000000000
21,52.0,1686306393000000000,1686306393000000000
22,125.0,1686306675000000000,1686306675000000000
23,93.0,1686306689000000000,1686306689000000000
24,91.0,1686306696000000000,1686306696000000000
25,91.0,1686306700000000000,1686306700000000000
26,92.0,1686306704000000000,1686306704000000000
27,92.0,1686306707000000000,1686306707000000000
28,87.0,1686306716000000000,1686306716000000000
29,87.0,1686306718000000000,1686306718000000000
30,88.0,1686306725000000000,1686306725000000000
31,87.0,1686306731000000000,1686306731000000000
32,87.0,1686306733000000000,1686306733000000000
33,88.0,1686306737000000000,1686306737000000000
34,88.0,1686306745000000000,1686306745000000000
35,88.0,1686306752000000000,1686306752000000000
36,89.0,1686306753000000000,1686306753000000000
37,89.0,1686306758000000000,1686306758000000000
38,89.0,1686306763000000000,1686306763000000000
39,89.0,1686306772000000000,1686306772000000000
40,89.0,1686306773000000000,1686306773000000000
41,89.0,1686306782000000000,1686306782000000000
42,89.0,1686306787000000000,1686306787000000000
43,89.0,1686306790000000000,1686306790000000000
44,89.0,1686306796000000000,1686306796000000000
45,86.0,1686306801000000000,1686306801000000000
46,86.0,1686306807000000000,1686306807000000000
47,86.0,1686306808000000000,1686306808000000000
48,87.0,1686306814000000000,1686306814000000000
49,91.0,1686306818000000000,1686306818000000000
50,91.0,1686306827000000000,1686306827000000000
51,91.0,1686306829000000000,1686306829000000000
52,77.0,1686307063000000000,1686307063000000000
53,72.0,1686307345000000000,1686307345000000000
54,56.0,1686307638000000000,1686307638000000000
55,66.0,1686307733000000000,1686307733000000000
56,59.0,1686308015000000000,1686308015000000000
57,80.0,1686308497000000000,1686308497000000000
58,66.0,1686308737000000000,1686308737000000000
59,70.0,1686309125000000000,1686309125000000000
60,72.0,1686309350000000000,1686309350000000000
61,67.0,1686309601000000000,1686309601000000000
62,67.0,1686309878000000000,1686309878000000000
63,77.0,1686310118000000000,1686310118000000000
64,91.0,1686310387000000000,1686310387000000000
65,68.0,1686310549000000000,1686310549000000000
66,83.0,1686310570000000000,1686310570000000000
67,65.0,1686310842000000000,1686310842000000000
68,65.0,1686311151000000000,1686311151000000000
69,104.0,1686311571000000000,1686311571000000000
70,68.0,1686311698000000000,1686311698000000000
71,67.0,1686311950000000000,1686311950000000000
72,71.0,1686312341000000000,1686312341000000000
73,83.0,1686312601000000000,1686312601000000000
74,66.0,1686312759000000000,1686312759000000000
75,65.0,1686312962000000000,1686312962000000000
76,67.0,1686313234000000000,1686313234000000000
77,68.0,1686313567000000000,1686313567000000000
78,66.0,1686313951000000000,1686313951000000000
79,68.0,1686314032000000000,1686314032000000000
80,62.0,1686314365000000000,1686314365000000000
81,63.0,1686314840000000000,1686314840000000000
82,60.0,1686315052000000000,1686315052000000000
83,60.0,1686315421000000000,1686315421000000000
84,67.0,1686315703000000000,1686315703000000000
85,61.0,1686316043000000000,1686316043000000000
86,60.0,1686316338000000000,1686316338000000000
87,62.4601020812988,1686316351000000000,1686316351000000000
88,58.0,1686316581000000000,1686316581000000000
89,65.0,1686316993000000000,1686316993000000000
90,61.0,1686317068000000000,1686317068000000000
91,66.0,1686317528000000000,1686317528000000000
92,56.0,1686317627000000000,1686317627000000000
93,63.0,1686317936000000000,1686317936000000000
94,61.0,1686318295000000000,1686318295000000000
95,75.0,1686318674000000000,1686318674000000000
96,61.0,1686318832000000000,1686318832000000000
97,97.0,1686319272000000000,1686319272000000000
98,61.0,1686319396000000000,1686319396000000000
99,61.0,1686319586000000000,1686319586000000000
100,65.0,1686319758000000000,1686319758000000000
101,60.0,1686320287000000000,1686320287000000000
102,69.0,1686320580000000000,1686320580000000000
103,74.0,1686320753000000000,1686320753000000000
104,66.0,1686321095000000000,1686321095000000000
105,62.0,1686321350000000000,1686321350000000000
106,75.0,1686321654000000000,1686321654000000000
107,67.0,1686322020000000000,1686322020000000000
108,65.0,1686322347000000000,1686322347000000000
109,67.0,1686322436000000000,1686322436000000000
110,69.0,1686322872000000000,1686322872000000000
111,64.0,1686323211000000000,1686323211000000000
112,61.0,1686323379000000000,1686323379000000000
113,69.0,1686323814000000000,1686323814000000000
114,63.0,1686324127000000000,1686324127000000000
115,74.0,1686324252000000000,1686324252000000000
116,77.0,1686324523000000000,1686324523000000000
117,57.0,1686325216000000000,1686325216000000000
118,68.0,1686325535000000000,1686325535000000000
119,68.0,1686325996000000000,1686325996000000000
120,78.0,1686326241000000000,1686326241000000000
121,69.0,1686326374000000000,1686326374000000000
122,59.0,1686326841000000000,1686326841000000000
123,83.0,1686327391000000000,1686327391000000000
124,76.0,1686327512000000000,1686327512000000000
125,68.0,1686327853000000000,1686327853000000000
126,73.0,1686328314000000000,1686328314000000000
127,66.0,1686328950000000000,1686328950000000000
128,72.0,1686329249000000000,1686329249000000000
129,74.0,1686329357000000000,1686329357000000000
130,74.0,1686329885000000000,1686329885000000000
131,70.0,1686330243000000000,1686330243000000000
132,69.0,1686330688000000000,1686330688000000000
133,74.0,1686331028000000000,1686331028000000000
134,62.0,1686331312000000000,1686331312000000000
135,72.0,1686331515000000000,1686331515000000000
136,70.0,1686331917000000000,1686331917000000000
137,74.0,1686332161000000000,1686332161000000000
138,83.0,1686332574000000000,1686332574000000000
139,71.0,1686332899000000000,1686332899000000000
140,59.0,1686333797000000000,1686333797000000000
141,66.0,1686333998000000000,1686333998000000000
142,68.1997680664063,1686334064000000000,1686334064000000000
143,74.0,1686334251000000000,1686334251000000000
144,116.0,1686334862000000000,1686334862000000000
145,114.0,1686334863000000000,1686334863000000000
